จังหวัด,ปี,ชาย (คน),หญิง (คน),รวม (คน)
อ่างทอง,2541,1564,1598,3162
ลพบุรี,2541,4517,4248,8765
สิงห์บุรี,2541,1589,1500,3089
ชัยนาท,2541,1493,1479,2972
สระบุรี,2541,5023,4666,9689
ชลบุรี,2541,11127,10640,21767
ระยอง,2541,4619,4315,8934
จันทบุรี,2541,3484,3307,6791
ตราด,2541,1522,1467,2989
ฉะเชิงเทรา,2541,4062,3865,7927
ปราจีนบุรี,2541,3180,2993,6173
นครนายก,2541,1437,1413,2850
สระแก้ว,2541,3486,3328,6814
นครราชสีมา,2541,17194,16313,33507
บุรีรัมย์,2541,10914,10220,21134
สุรินทร์,2541,10036,9693,19729
ศรีสะเกษ,2541,10484,10285,20769
อุบลราชธานี,2541,13991,13183,27174
ยโสธร,2541,3960,3452,7412
ชัยภูมิ,2541,6731,6519,13250
อำนาจเจริญ,2541,2423,2341,4764
หนองบัวลำภู,2541,3494,3239,6733
ขอนแก่น,2541,12998,12515,25513
อุดรธานี,2541,11062,10498,21560
เลย,2541,4103,3904,8007
หนองคาย,2541,6756,6359,13115
มหาสารคาม,2541,5520,5209,10729
ร้อยเอ็ด,2541,8511,8226,16737
กาฬสินธุ์,2541,5779,5725,11504
สกลนคร,2541,8226,8181,16407
นครพนม,2541,5402,5033,10435
มุกดาหาร,2541,2559,2460,5019
เชียงใหม่,2541,7765,7294,15059
ลำพูน,2541,1542,1561,3103
ลำปาง,2541,4178,3733,7911
อุตรดิตถ์,2541,2877,2751,5628
แพร่,2541,2442,2375,4817
น่าน,2541,3048,2939,5987
พะเยา,2541,2766,2612,5378
เชียงราย,2541,7433,7072,14505
แม่ฮ่องสอน,2541,2295,2163,4458
นครสวรรค์,2541,6583,6100,12683
อุทัยธานี,2541,2252,2178,4430
กำแพงเพชร,2541,4285,4205,8490
ตาก,2541,4596,4433,9029
สุโขทัย,2541,3538,3213,6751
พิษณุโลก,2541,5266,4927,10193
พิจิตร,2541,3201,2976,6177
เพชรบูรณ์,2541,5875,5727,11602
ราชบุรี,2541,6402,6150,12552
กาญจนบุรี,2541,5392,5040,10432
สุพรรณบุรี,2541,5230,5037,10267
นครปฐม,2541,5463,5190,10653
สมุทรสาคร,2541,4659,4212,8871
สมุทรสงคราม,2541,1049,1056,2105
เพชรบุรี,2541,2755,2639,5394
ประจวบคีรีขันธ์,2541,3202,3146,6348
นครศรีธรรมราช,2541,10484,9878,20362
กระบี่,2541,3407,3136,6543
พังงา,2541,1797,1778,3575
ภูเก็ต,2541,2727,2689,5416
สุราษฎร์ธานี,2541,7900,7243,15143
ระนอง,2541,1350,1296,2646
ชุมพร,2541,3666,3438,7104
สงขลา,2541,11251,10632,21883
สตูล,2541,2330,2238,4568
ตรัง,2541,5237,5136,10373
พัทลุง,2541,3436,3263,6699
ปัตตานี,2541,6641,6404,13045
ยะลา,2541,5856,5593,11449
นราธิวาส,2541,7943,7872,15815
กรุงเทพมหานคร,2542,50412,47602,98014
สมุทรปราการ,2542,6179,5650,11829
นนทบุรี,2542,4337,4123,8460
ปทุมธานี,2542,3313,3152,6465
พระนครศรีอยุธยา,2542,3709,3595,7304
อ่างทอง,2542,1482,1369,2851
ลพบุรี,2542,4171,3843,8014
สิงห์บุรี,2542,1404,1375,2779
ชัยนาท,2542,1318,1201,2519
สระบุรี,2542,4525,4067,8592
ชลบุรี,2542,11115,10125,21240
ระยอง,2542,3593,3513,7106
จันทบุรี,2542,2888,2635,5523
ตราด,2542,1324,1351,2675
ฉะเชิงเทรา,2542,3891,3682,7573
ปราจีนบุรี,2542,2484,2457,4941
นครนายก,2542,1365,1222,2587
สระแก้ว,2542,3415,3258,6673
นครราชสีมา,2542,15893,14921,30814
บุรีรัมย์,2542,8283,8078,16361
สุรินทร์,2542,8397,7887,16284
ศรีสะเกษ,2542,8495,8327,16822
อุบลราชธานี,2542,10707,10254,20961
ยโสธร,2542,3451,3168,6619
ชัยภูมิ,2542,5209,4977,10186
อำนาจเจริญ,2542,2207,2081,4288
หนองบัวลำภู,2542,2892,2787,5679
ขอนแก่น,2542,11196,10574,21770
อุดรธานี,2542,11028,10413,21441
เลย,2542,3537,3348,6885
หนองคาย,2542,5442,5288,10730
มหาสารคาม,2542,4615,4251,8866
ร้อยเอ็ด,2542,6785,6257,13042
กาฬสินธุ์,2542,4699,4473,9172
สกลนคร,2542,7507,6994,14501
นครพนม,2542,4599,4411,9010
มุกดาหาร,2542,2376,2271,4647
เชียงใหม่,2542,9267,8955,18222
ลำพูน,2542,1419,1350,2769
ลำปาง,2542,3451,3346,6797
อุตรดิตถ์,2542,2451,2308,4759
แพร่,2542,2139,1841,3980
น่าน,2542,2575,2541,5116
พะเยา,2542,2254,2239,4493
เชียงราย,2542,6533,6157,12690
แม่ฮ่องสอน,2542,1965,1774,3739
นครสวรรค์,2542,5527,5274,10801
อุทัยธานี,2542,1940,1794,3734
กำแพงเพชร,2542,3689,3608,7297
ตาก,2542,4556,4187,8743
สุโขทัย,2542,2663,2420,5083
พิษณุโลก,2542,4788,4555,9343
พิจิตร,2542,2894,2736,5630
เพชรบูรณ์,2542,5174,4916,10090
ราชบุรี,2542,5792,5371,11163
กาญจนบุรี,2542,4605,4247,8852
สุพรรณบุรี,2542,4516,4143,8659
นครปฐม,2542,5189,4848,10037
สมุทรสาคร,2542,4159,3803,7962
สมุทรสงคราม,2542,991,904,1895
เพชรบุรี,2542,2405,2343,4748
ประจวบคีรีขันธ์,2542,3038,2772,5810
นครศรีธรรมราช,2542,10759,10133,20892
กระบี่,2542,3204,3039,6243
พังงา,2542,1836,1724,3560
ภูเก็ต,2542,2839,2537,5376
สุราษฎร์ธานี,2542,7324,7077,14401
ระนอง,2542,1285,1275,2560
ชุมพร,2542,3313,3133,6446
สงขลา,2542,10557,9981,20538
สตูล,2542,2224,2037,4261
ตรัง,2542,4266,4029,8295
พัทลุง,2542,2868,2596,5464
ปัตตานี,2542,5327,4982,10309
ยะลา,2542,4260,3894,8154
นราธิวาส,2542,6275,5940,12215
