จังหวัด,ปี,ชาย (คน),หญิง (คน),รวม (คน)
จังหวัดนครศรีธรรมราช,2540,11328,10786,22114
จังหวัดกระบี่,2540,3042,2867,5909
จังหวัดพังงา,2540,1955,1907,3862
จังหวัดภูเก็ต,2540,2640,2498,5138
จังหวัดสุราษฎร์ธานี,2540,4557,4160,8717
จังหวัดระนอง,2540,1459,1377,2836
จังหวัดชุมพร,2540,3426,3253,6679
จังหวัดสงขลา,2540,9711,9375,19086
จังหวัดสตูล,2540,2124,1959,4083
จังหวัดตรัง,2540,5232,5065,10297
จังหวัดพัทลุง,2540,3654,3379,7033
จังหวัดปัตตานี,2540,7101,6897,13998
จังหวัดยะลา,2540,4983,4824,9807
จังหวัดนราธิวาส,2540,6729,6592,13321
กรุงเทพมหานคร,2541,46329,42753,89082
จังหวัดสมุทรปราการ,2541,6935,6516,13451
จังหวัดนนทบุรี,2541,5208,4910,10118
จังหวัดปทุมธานี,2541,3721,3510,7231
จังหวัดพระนครศรีอยุธยา,2541,4876,4638,9514
จังหวัดอ่างทอง,2541,1564,1598,3162
จังหวัดลพบุรี,2541,4517,4248,8765
จังหวัดสิงห์บุรี,2541,1589,1500,3089
จังหวัดชัยนาท,2541,1493,1479,2972
จังหวัดสระบุรี,2541,5023,4666,9689
จังหวัดชลบุรี,2541,11127,10640,21767
จังหวัดระยอง,2541,4619,4315,8934
จังหวัดจันทบุรี,2541,3484,3307,6791
จังหวัดตราด,2541,1522,1467,2989
จังหวัดฉะเชิงเทรา,2541,4062,3865,7927
จังหวัดปราจีนบุรี,2541,3180,2993,6173
จังหวัดนครนายก,2541,1437,1413,2850
จังหวัดสระแก้ว,2541,3486,3328,6814
จังหวัดนครราชสีมา,2541,17194,16313,33507
จังหวัดบุรีรัมย์,2541,10914,10220,21134
จังหวัดสุรินทร์,2541,10036,9693,19729
จังหวัดศรีสะเกษ,2541,10484,10285,20769
จังหวัดอุบลราชธานี,2541,13991,13183,27174
จังหวัดยโสธร,2541,3960,3452,7412
จังหวัดชัยภูมิ,2541,6731,6519,13250
จังหวัดอำนาจเจริญ,2541,2423,2341,4764
จังหวัดหนองบัวลำภู,2541,3494,3239,6733
จังหวัดขอนแก่น,2541,12998,12515,25513
จังหวัดอุดรธานี,2541,11062,10498,21560
จังหวัดเลย,2541,4103,3904,8007
จังหวัดหนองคาย,2541,6756,6359,13115
จังหวัดมหาสารคาม,2541,5520,5209,10729
